Region,diet_group,Percentage,Date,age_group,grouping,mean_ghgs,mean_land,mean_watscar,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_acid,mean_watuse,n_participants,Region_Population,Per_Person_GHGs,Scaled GHGs,Scaled Land Use
London,high_meat,64,2022-04-01,50-59,meat 100+_female_50-59,11574.401589788,24934.026384375,21957748.79625,2485.821003823,827.111165117,424997.3254504,46340.11022442,960196.9119566,1753.0,9294023,6.6026249799132914,39273566.99116074,84604646.5529677
London,high_meat,64,2022-04-01,50-59,meat 100+_male_50-59,11678.040095756,24765.493737843,22196915.9694,2493.825428728,845.726470224,424304.5883251,47281.6909799,948052.3525954,591.0,9294023,19.759797116338408,117534725.67973301,249254625.6848664
London,high_meat,64,2022-04-01,50-59,meat <50_female_50-59,5743.81054721,8589.148020467,17812886.235386,1089.556732367,390.634887094,265987.4302747,27165.03069295,789643.1718661,1698.0,9294023,3.382691723916372,20120841.397752583,30088193.829022292
London,high_meat,64,2022-04-01,50-59,meat <50_male_50-59,5932.798636723,8887.673871456,17753366.154011,1115.071943874,403.593661543,280050.005136,27831.50148846,772424.4996164,410.0,9294023,14.47024057737317,86071519.1946493,128940090.34585148
London,high_meat,64,2022-04-01,60-69,meat 100+_female_60-69,11520.473391645,24780.218875941,22267712.39392,2482.433462121,825.564782097,418759.1540763,46208.57629087,967902.3117247,843.0,9294023,13.666041982971532,81288005.44556993,174848246.1138067
London,high_meat,64,2022-04-01,60-69,meat 100+_male_60-69,11450.175664626,24237.669950228,22420088.34903,2483.418445581,836.508023034,419968.938759,46820.10154528,963566.5072567,543.0,9294023,21.086879677027625,125428444.61857748,265506253.53526673
London,high_meat,64,2022-04-01,60-69,meat <50_female_60-69,5861.660341356,8773.431483816,18049559.35338,1135.358131228,397.27727146,274485.89453,27929.01125211,803482.1626348,1047.0,9294023,5.598529456882521,33301031.38460394,49843269.68451425
London,high_meat,64,2022-04-01,60-69,meat <50_male_60-69,5921.724590471,9083.406080365,17674902.74035,1126.481213163,406.294094112,275390.0345431,27691.49666903,794376.8012882,364.0,9294023,16.268474149645606,96767726.66989549,148433204.44703677
London,high_meat,64,2022-04-01,70-79,meat 100+_female_70-79,11990.853394399,26031.131035218,22709031.90567,2635.513953897,858.69091702,432051.8215774,47783.48446735,980562.3297263,274.0,9294023,43.762238665689786,260305441.7218625,565101151.666756
London,high_meat,64,2022-04-01,70-79,meat 100+_male_70-79,12263.987428482,26714.11593829,22944250.12484,2670.517895181,888.626578572,446023.654708,48459.35504749,982878.9450576,168.0,9294023,72.99992516953571,434216309.45532405,945834696.9719385
London,high_meat,64,2022-04-01,70-79,meat <50_female_70-79,5836.04136184,8743.882449843,18143595.88405,1137.671005785,397.391549699,273304.9905213,27648.63836729,809873.8491242,381.0,9294023,15.317693863097112,91112319.40517338,136509555.23046666
London,high_meat,64,2022-04-01,70-79,meat <50_male_70-79,6126.166528464,9377.144449959,18417879.232569,1192.354242117,414.881529855,291467.5388466,28641.06153772,816378.9792448,143.0,9294023,42.84032537387413,254821740.38545263,390048206.7345065
London,none,3,2022-04-01,,,,,,,,,,,,9294023,,,
Midlands,vegan,3,2022-04-01,20-29,vegan_female_20-29,2383.216383473,4049.672932221,13526411.130525,138.213165716,198.465641654,109763.87161257,10489.060925259,411915.6576172,487.0,4934939,4.8936681385482546,724498.6124993755,1231101.9850387126
Midlands,vegan,3,2022-04-01,20-29,vegan_male_20-29,2843.22830886,4845.974177056,15880592.028433,161.167919652,230.182435952,124675.16425107,12428.286924933,492222.2786746,198.0,4934939,14.359738933636365,2125933.070802615,3623422.2665676605
Midlands,vegan,3,2022-04-01,30-39,vegan_female_30-39,2540.393020847,4262.57299745,13977927.843938,151.392087424,212.639307399,123441.89220552,11007.468070412,425503.5996251,376.0,4934939,6.756364417146277,1000267.3878116228,1678367.3717124655
Midlands,vegan,3,2022-04-01,30-39,vegan_male_30-39,2698.172418304,4490.25876692,15193403.25858,145.903105765,217.411423007,126109.66552563,11770.707828851,452753.2876556,251.0,4934939,10.749690909577689,1591472.0672286123,2648504.355653237
Midlands,vegan,3,2022-04-01,40-49,vegan_female_40-49,2657.602421868,4525.625972831,15304059.745505,172.36196784,222.044143297,127590.25100421,11872.14351147,451688.2750781,219.0,4934939,12.135170876109589,1796589.840845321,3059409.3305118685
Midlands,vegan,3,2022-04-01,40-49,vegan_male_40-49,2694.366019617,4553.663880856,14841207.695543,147.843090695,224.855780201,132012.33409226,11678.90812963,441906.1889351,165.0,4934939,16.329491027981817,2417551.2637241264,4085827.9051868413
Midlands,vegan,3,2022-04-01,50-59,vegan_female_50-59,2520.496825096,4427.549281559,15130223.558038,142.11403315,218.735418186,125142.39314571,11467.556763393,424692.8309056,106.0,4934939,23.778271934867924,3520329.6457195547,6183873.28980778
Midlands,vegan,3,2022-04-01,50-59,vegan_male_50-59,2524.737409503,4413.799280802,14370528.918144,142.867339974,211.573632669,122925.27060284,11196.164372016,416335.442421,62.0,4934939,40.721571121016126,6028754.083991285,10539595.262420196
Midlands,vegan,3,2022-04-01,60-69,vegan_female_60-69,2633.644804226,4742.450322123,15675198.73058,145.497196981,223.279134154,128762.13270617,11907.675093925,439410.9382185,81.0,4934939,32.51413338550617,4813657.946860093,8668038.166743463
Midlands,vegan,3,2022-04-01,60-69,vegan_male_60-69,2427.010725764,4559.575998788,17095889.355713,108.715468958,213.271624774,117694.37134411,11452.590982967,477762.3619724,52.0,4934939,46.673283187769236,6909894.163841001,12981478.511470877
Midlands,vegan,3,2022-04-01,70-79,vegan_female_70-79,2839.875594178,4757.807694581,16572485.297502,195.633864786,229.870085728,135010.84492166,12369.18122838,505930.7334576,25.0,4934939,113.59502376712,16817535.38982862,28175388.895785432
Midlands,vegan,3,2022-04-01,70-79,vegan_male_70-79,2587.986805198,4499.38951313,16181930.817624,164.137273053,217.562651141,119285.6002036,11543.243117288,460111.6967641,19.0,4934939,136.20983185252632,20165616.34177423,35059283.344004594
Midlands,veggie,5,2022-04-01,20-29,veggie_female_20-29,4319.955997758,6207.026791511,15116316.008132,767.126570386,290.159041211,242831.49444475,20430.360412,545573.1476233,3752.0,4934939,1.1513741998288913,284098.0721164695,408199.608042011
Midlands,veggie,5,2022-04-01,20-29,veggie_male_20-29,4899.777121339,6903.258500653,16770457.919306,852.620861553,322.55469485,268229.958412,23130.38268794,609392.3080941,646.0,4934939,7.584794305478328,1871524.8612541456,2636777.058974769
Midlands,veggie,5,2022-04-01,30-39,veggie_female_30-39,4367.724164195,6265.816777324,15473426.301768,766.631297929,293.230105402,248109.63180568,20834.74315878,547908.9722044,3634.0,4934939,1.2019053836529996,296566.48760495754,425446.1142167106
Midlands,veggie,5,2022-04-01,30-39,veggie_male_30-39,4807.758162693,6787.162913364,16603476.202238,811.991240451,316.325517516,266148.8972905,22864.09092652,594307.0152665,1221.0,4934939,3.9375578728034393,971580.3955627367,1371590.293223326
Midlands,veggie,5,2022-04-01,40-49,veggie_female_40-49,4386.548303825,6317.881972941,15792643.373123,766.623857288,292.515519197,248886.96790858,21156.39647047,546728.9578291,2696.0,4934939,1.6270579761962167,401471.5930995891,578233.7193186848
Midlands,veggie,5,2022-04-01,40-49,veggie_male_40-49,4610.379492209,6610.474189688,16477661.724032,764.687251658,304.605360566,251351.9262479,21866.19864283,576240.6652619,961.0,4934939,4.797481261403746,1183763.868933527,1697309.411403991
Midlands,veggie,5,2022-04-01,50-59,veggie_female_50-59,4370.471444328,6310.075911589,16380318.605413,755.226412031,293.825073014,246156.87949091,21287.99944948,553108.3546952,1203.0,4934939,3.6329770942044886,896426.0174148203,1294257.6770183337
Midlands,veggie,5,2022-04-01,50-59,veggie_male_50-59,4455.095310198,6522.06762817,16333409.31528,733.031130896,299.52328766,244248.4288057,21186.60753071,559640.001432,426.0,4934939,10.457970211732395,2580472.2529358226,3777700.2228748393
Midlands,veggie,5,2022-04-01,60-69,veggie_female_60-69,4472.485087662,6476.280588035,16815591.083498,795.629508594,299.65654976,253656.31137871,21846.14780156,564219.2593341,536.0,4934939,8.34418859638433,2058903.0863826144,2981347.915003438
Midlands,veggie,5,2022-04-01,60-69,veggie_male_60-69,4444.84358452,6628.730014408,16725207.749553,738.549691927,305.724163381,248603.8537398,21321.33244937,566825.9603656,229.0,4934939,19.40979731231441,4789308.286931778,7142440.669994018
Midlands,veggie,5,2022-04-01,70-79,veggie_female_70-79,4473.445256478,6632.652876176,17181322.996656,798.71889352,305.595039732,256697.8807305,21911.67941945,565183.8732052,289.0,4934939,15.479049330373703,3819408.211169254,5662930.337734103
Midlands,veggie,5,2022-04-01,70-79,veggie_male_70-79,4612.451445292,6842.65292261,17972881.278657,794.672849943,319.632836765,259421.3507273,22133.81134382,602571.5334267,158.0,4934939,29.192730666405065,7203217.254106917,10686099.611155719
Midlands,meat,14,2022-04-01,20-29,meat50-99_female_20-29,6913.346378262,11483.908972856,18869857.76377,1340.651639907,497.019244658,295261.4160434,31841.35588879,853067.0371684,669.0,4934939,10.33385108858296,7139569.466013672,11859693.029541979
Midlands,meat,14,2022-04-01,20-29,meat50-99_male_20-29,7387.087141033,11813.753911057,20069386.41303,1416.736588672,526.701588659,315329.2617736,34217.01721679,903817.2185316,151.0,4934939,48.92110689425828,33799174.96699017,54053123.759542264
Midlands,meat,14,2022-04-01,30-39,meat50-99_female_30-39,7135.58166656,11994.261494591,18849367.94149,1403.059285251,507.654792695,305726.5789884,32487.53444322,846420.7622289,1350.0,4934939,5.285616049303703,3651786.989302868,6138320.6189776
Midlands,meat,14,2022-04-01,30-39,meat50-99_male_30-39,7594.977983203,12457.481330451,20166206.75629,1484.898333897,543.7868378000001,327735.7784386,34928.18006258,894984.4505135,304.0,4934939,24.983480207904606,17260873.11672032,28311735.07999354
Midlands,meat,14,2022-04-01,40-49,meat50-99_female_40-49,7484.151329541,13124.07017211,18754898.01195,1498.014684239,527.166375872,317036.7591402,33511.53700702,840702.2575298001,2710.0,4934939,2.761679457395203,1908020.7523717799,3345870.11156883
Midlands,meat,14,2022-04-01,40-49,meat50-99_male_40-49,7781.512620765,13684.227209555,19024795.00326,1541.129376513,553.747728038,330672.2034882,34776.60356647,825704.8464032,663.0,4934939,11.736821449117647,8108869.706740208,14259903.040393937
Midlands,meat,14,2022-04-01,50-59,meat50-99_female_50-59,7586.115661522,13376.78299764,18907620.02015,1532.156192509,530.448101187,317633.8983009,33984.66013005,853522.1349537,2682.0,4934939,2.8285293294265474,1954206.7580603287,3445900.497890633
Midlands,meat,14,2022-04-01,50-59,meat50-99_male_50-59,7752.900129514,13735.965671516,18955503.93538,1546.929675381,545.84339208,321302.9927782,34523.29983909,851293.1917815,671.0,4934939,11.554247584968703,7982730.983180502,14143161.516100701
Midlands,meat,14,2022-04-01,60-69,meat50-99_female_60-69,7541.230540435,13030.556722137,19476050.05277,1527.971351039,529.024886747,317101.3936082,34295.80924761,885594.0181619,1456.0,4934939,5.179416579969093,3578414.682883054,6183173.323056351
Midlands,meat,14,2022-04-01,60-69,meat50-99_male_60-69,7835.827297245,13971.773399314,19187992.73848,1579.146512461,550.46982194,326034.4979316,34766.99641503,857247.7226442,634.0,4934939,12.359349049282335,8538968.709308285,15225518.805427782
Midlands,meat,14,2022-04-01,70-79,meat50-99_female_70-79,7611.196494765,13551.47330904,19784739.88134,1554.789805749,541.96477774,324067.7818591,34070.38653639,884080.8362441,450.0,4934939,16.913769988366667,11685579.241366832,20805771.510297064
Midlands,meat,14,2022-04-01,70-79,meat50-99_male_70-79,8023.873929639,14815.728807134,19365564.25826,1649.471965289,567.785546484,329427.4206044,34587.44790741,870016.5619882,231.0,4934939,34.73538497679221,23998380.84027804,44311950.24469641
Midlands,fish,3,2022-04-01,20-29,fish_female_20-29,4902.947125081,6489.030806882,17131963.351906,842.863531942,322.486106938,248135.21166088,22770.95614381,759237.2105686,1329.0,4934939,3.689200244605719,546179.344977429,722866.1670673465
Midlands,fish,3,2022-04-01,20-29,fish_male_20-29,5659.688871226,7381.889374139,19671024.653972,925.972458962,366.328778242,273612.3086798,26078.89770118,860979.7440421,163.0,4934939,34.722017614883434,5140531.166591257,6704755.907875608
Midlands,fish,3,2022-04-01,30-39,fish_female_30-39,4942.664483793,6515.886259015,17652628.539581,836.500414364,321.970771612,249827.68412553,23257.77137329,759629.6132108,2024.0,4934939,2.442027907012352,361537.7627221088,476613.1603632987
Midlands,fish,3,2022-04-01,30-39,fish_male_30-39,5327.205952942,6977.105921564,18953095.158366,854.536975955,343.782185164,262360.838158,24710.1459431,818712.7748626,412.0,4934939,12.930111536266992,1914279.3508402165,2507154.7659798875
Midlands,fish,3,2022-04-01,40-49,fish_female_40-49,4927.040172677,6540.681894736,17729964.755823,841.105793907,320.413037196,252846.9224143,23470.16991168,748488.7548866,1689.0,4934939,2.917134501288928,431876.42455968837,573319.1149010049
Midlands,fish,3,2022-04-01,40-49,fish_male_40-49,5201.802609349,6890.941560395,18288937.588674,844.988263568,334.051387364,258088.1295996,24020.1797372,782192.7528884,432.0,4934939,12.041209743863426,1782679.0671651487,2361553.9064662596
Midlands,fish,3,2022-04-01,50-59,fish_female_50-59,4944.320333791,6566.172011315,18446193.258613,834.8812859450001,323.892204601,246789.91162713,23652.47351582,788932.2758300999,946.0,4934939,5.226554264049683,773781.7941982523,1027600.1587530707
