Region,diet_group,Percentage,Date,age_group,grouping,mean_ghgs,mean_land,mean_watscar,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_acid,mean_watuse,n_participants,Scaled GHGs,Scaled Land Use
London,vegan,4,2022-04-01,20-29,vegan_female_20-29,2383.216383473,4049.672932221,13526411.130525,138.213165716,198.465641654,109763.87161257,10489.060925259,411915.6576172,487000.0,95.32865533892,161.98691728884
London,vegan,4,2022-04-01,20-29,vegan_male_20-29,2843.22830886,4845.974177056,15880592.028433,161.167919652,230.182435952,124675.16425107,12428.286924933,492222.2786746,198000.0,113.72913235440001,193.83896708224003
London,vegan,4,2022-04-01,30-39,vegan_female_30-39,2540.393020847,4262.57299745,13977927.843938,151.392087424,212.639307399,123441.89220552,11007.468070412,425503.5996251,376000.0,101.61572083388,170.50291989800002
London,vegan,4,2022-04-01,30-39,vegan_male_30-39,2698.172418304,4490.25876692,15193403.25858,145.903105765,217.411423007,126109.66552563,11770.707828851,452753.2876556,251000.0,107.92689673216,179.6103506768
London,vegan,4,2022-04-01,40-49,vegan_female_40-49,2657.602421868,4525.625972831,15304059.745505,172.36196784,222.044143297,127590.25100421,11872.14351147,451688.2750781,219000.0,106.30409687472,181.02503891324
London,vegan,4,2022-04-01,40-49,vegan_male_40-49,2694.366019617,4553.663880856,14841207.695543,147.843090695,224.855780201,132012.33409226,11678.90812963,441906.1889351,165000.0,107.77464078468,182.14655523424
London,vegan,4,2022-04-01,50-59,vegan_female_50-59,2520.496825096,4427.549281559,15130223.558038,142.11403315,218.735418186,125142.39314571,11467.556763393,424692.8309056,106000.0,100.81987300384,177.10197126236
London,vegan,4,2022-04-01,50-59,vegan_male_50-59,2524.737409503,4413.799280802,14370528.918144,142.867339974,211.573632669,122925.27060284,11196.164372016,416335.442421,62000.0,100.98949638012,176.55197123208
London,vegan,4,2022-04-01,60-69,vegan_female_60-69,2633.644804226,4742.450322123,15675198.73058,145.497196981,223.279134154,128762.13270617,11907.675093925,439410.9382185,81000.0,105.34579216904,189.69801288492
London,vegan,4,2022-04-01,60-69,vegan_male_60-69,2427.010725764,4559.575998788,17095889.355713,108.715468958,213.271624774,117694.37134411,11452.590982967,477762.3619724,52000.0,97.08042903056001,182.38303995152
London,vegan,4,2022-04-01,70-79,vegan_female_70-79,2839.875594178,4757.807694581,16572485.297502,195.633864786,229.870085728,135010.84492166,12369.18122838,505930.7334576,25000.0,113.59502376712,190.31230778324
